;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;T12;T13;T14;T15
T1;1;1;0;0;0;0;0;0;1;0;1;1;1;1;1
T2;1;1;1;1;0;1;0;0;0;1;0;0;0;0;0
T3;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0
T4;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0
T5;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0
T6;0;1;1;0;1;1;1;1;0;1;0;0;0;0;0
T7;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0
T8;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0
T9;0;1;0;0;0;0;1;1;1;0;1;0;0;0;0
T10;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0
T11;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0
T12;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
T13;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
T14;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
T15;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
